"","titles","dates","rating_scores","descriptions"
"132","WWE SmackDown! Here Comes the Pain","October 27, 2003","85","Features an exclusive story mode with original storylines developed by WWE. Unique Superstar abilities featuring real-life attributes of strength, submission, technique, speed and stamina. New and improved controls including an in-depth countering and interactive submission system. All-new match types including Bra & Panty, First Blood and Elimination Chamber. Enhanced production values feature dynamic camera transitions, an improved audio experience, Superstar voice over and more-realistic animations. [THQ]"
"133","Hot Shots Golf 3","March 11, 2002","85","Join the new cast of characters who come to tee off on the greens and on each other with trash-talking quips. The new swing Meter will test your skills with a variety of interfaces depending on the lie of the ball, whether it is in the fairway, rough, treeline, dirt or sand trap. Earn ""Hot Shot Points"" for superb performances, great shots and remarkable putts to use towards enhanced golf equipment and insane golf gadgets. [SCEA]"
"134","Champions of Norrath","February 10, 2004","85","Create your own champions, each with unique powers, appearances and skills in this Action RPG. Experience an epic adventure filled with powerful action and ominous intrigue. Battle vicious monsters where your mastery of weaponry and spells is the only thing between you and the supremacy of evil. Champions of Norrath allows gamers to create their own unique hero to journey from the city of Faydwer into the wilds of Norrath to save the land from a gathering army of evil orcs and goblins. Players can adventure alone or with a band of up to three other players either over the Internet or on a single PlayStation 2 system with a Multitap. Import player characters into friends' games using a memory card and then take them home to play solo--the play options offer console gamers the freedom to play anytime and from any location. Champions of Norrath offers players more than 100 hours of gameplay per player character, unlimited battles, deadly missions and unmatched character customization in an enthralling fantasy world. [Sony Online Entertainment]"
"135","Final Fantasy XI","March 23, 2004","85","The world of Vana'diel stands at the brink of war. Three powerful nations, united in their plight against the beastmen forces, look to their last hope -- brave adventurers like you! Will the beastmen gain the upper hand, and thrust the once-peaceful Vana'diel into another war? Step into the world of Vana'diel and journey forth on grand adventures with players from all across the globe! Final Fantasy XI is the first online game in the award-winning FINAL FANTASY series. How you play is up to you, with limitless possibilities for adventure. Set out on your own to discover the countless secrets of Vana'diel, or form a party with your friends to purge the beastman forces and bring home sensational spoils! [Square Enix]"
"136","DDRMAX: Dance Dance Revolution","October 28, 2002","85","DDRMAX will have you working up a sweat to over 65 songs. The 100+ minutes of music include licensed tracks, fresh dance hits, and cool new songs exclusive to the North American release. DDRMAX delivers never-before-seen in-game videos, new gameplay options, blistering 60-frames per second frame rates and the largest song library in franchise history. Further enhancing the gameplay experience is the introduction of the FREEZE ARROW option that freezes on-screen arrows and forces you to modify your dance steps thus increasing complexity and adding a twist to the routine. Popular gameplay options that return in DDRMAX are the Edit Mode that enables you to customize your own dance steps, and the special Work Out mode that tracks the number of calories burned with every move."
"137","NASCAR Thunder 2002","October 15, 2001","85","Includes over 50 drivers (Gordon, Earnhardt Jr., Jarrett, and unlockable NASCAR® Busch Series drivers) and all 23 tracks from the NASCAR Winston Cup® series and allows you to Create-A-Car and earn money and sponsors to build your own racing dynasty.  [EA Sports]"
"138","NHL 2001","October 25, 2000","85","EA's first hockey game to grace a next-gen system features all 30 NHL teams (including the Wild & Blue Jackets) and emphasizes speed, with the ""big hit,"" ""deke"" and ""speed burst"" buttons making their return along with such precise adjustable factors as pass speed, shot accuracy, puck elasticity, and puck friction (?!?)."
"139","The Lord of the Rings: The Return of the King","November 5, 2003","85","Return to Middle-earth in the only video game based on the epic final chapter of the highly-acclaimed The Lord of the Rings movie trilogy. Developed using the same digital assets as the films, The Return of the King re-creates in stunning detail the final events of the War of the Ring. Become the heroes who determine the fate of Middle-earth as you traverse the haunted Paths of the Dead, defend Minas Tirith from the onslaught of thousands of Sauron's minions, and even play co-op multiplayer with a friend as you march against the impenetrable Black Gates of Mordor. Eight playable characters, including Gandalf, Aragorn, Legolas, Gimli, Sam, and Frodo with exclusive voice-over provided by the films’ actors. The fate of Middle-earth is in your hands. [Electronic Arts]"
"140","Need for Speed Underground","November 17, 2003","85","Enter the world of urban street racing and high performance tuner cars with the latest title in the hit Need for Speed series: Need for Speed Underground. Take on today's most popular tuner cars from Mitsubishi Motors, Subaru, Toyota and many more, building the ultimate street machine by earning cash to pay for custom body kits and a host of licensed car performance mods. But just creating a custom street racing machine will not get you to the top; it takes a certain amount of attitude and razor sharp driving skills to compete in the tough world of urban racing. A number of diverse events set in gritty, nighttime environments make up the heart of street competition. Players become complete street racers by perfecting skills in each event by nailing the perfect shift in drag racing and by putting their street cred on the line, racing through the city streets at all hours of the night. Prove you belong in the elite street racing circles, work your way up the underground rankings and take on the best of the best in each discipline. [Electronic Arts]"
"141","Silent Hill 3","August 6, 2003","85","Silent Hill 3 continues the series' trademark brand of psychological horror and terrifying gameplay. As a teenage girl named Heather, players must explore and unravel the mysterious connection between the god-forsaken town and her inner fears. With enhanced graphical detail, a more complex storyline, and even more grotesque monsters than the previous games, Silent Hill 3 promises to be the best horror adventure ever. Features new monsters, items and weapons, including a submachine gun. [Konami]"
"142","Fight Night 2004","April 5, 2004","85","Built from the ground up to deliver all the drama and pageantry of a heavyweight title bout, EA SPORTS FIGHT NIGHT 2004 is the most authentic boxing experience to date, sporting a dramatic new-school attitude, a dynamic new cinematic approach, and revolutionary boxing gameplay. With Total Punch Control, EA SPORTS FIGHT NIGHT 2004 allows gamers to pummel their opponents with surgical precision, controlling both punch location and power to bring the hurt with style and strategy. Plus, an all-new defensive system gives players full body control as they make a run at the title. All-New Total Punch Control: Hammer the competition with this innovative new feature -- the right analog stick becomes an intuitive extension of your fists, giving you total control of every punch. Stick and Move: Use the analog sticks to bob and weave, block punches, and frustrate opponents by shutting down and countering their attacks. Be the Ultimate Fighting Machine: Create a fighter who looks exactly like you in Career Mode, and work your way from amateur to title contender to undisputed champion. Customize Your Ring Entrance: Psych out your opponent, show your personality, and win over the crowd with your hand-chosen music, special effects and entourage. Knock 'em Out Online: Step into the online ring and go toe-to-toe against other top fighters to see how you stack up against the nation's best. [EA Sports]"
"143","Disgaea: Hour of Darkness","August 27, 2003","84","The Netherworld - a realm darker than the deepest abyss, located far beneath where mortals tread. It is a cursed land where evil reigns and foul beings dwell. Nobody knows its whereabouts, but everybody fears its existence... The story takes place two years after the death of King Krichevskoy, the ruler of the Netherworld. His son Laharl awakens from a long sleep, unaware of his father's death. Meanwhile, scheming demons vie for supremacy over the Netherworld. With the help of his subordinate Etna and her underlings, the egocentric, self-absorbed Prince Laharl must fight to regain the throne and claim his birthright. [Atlus]"
"144","Mercenaries","January 10, 2005","84","Mercenaries is a revolutionary, 3rd person action-shooter game set in the near future and inspired by real world events. On the eve of a historic reunification of North and South Korea, a ruthless general stages a military coup to take control of North Korea and threatens the world with nuclear war. The international community launches a global task force to stabilize the region. However, when diplomatic efforts collapse and the region descends into anarchy they announce a one hundred million dollar bounty on the North Korean general and his top military and scientific advisors. The targets are identified in a ?most wanted? list in the form of a 52-card deck of playing cards. As one of the top operatives for a private mercenaries company called Executive Operations, you have been called in to collect on these bounties. [LucasArts]"
"145","FIFA Soccer 2004","November 4, 2003","84","A new Career Mode gives you the chance to take a team from the lower divisions, battle through ranks, sign new players, and turn them into champions. Take control of players away from the ball, and run them into space for attacking passes or gain valuable position during dead ball kicks. A fine-tuned game engine, and new animations dramatically enhance the smoothness in player movement. Deeper team AI, attributes, tactics, playing styles, control, and individual player personalities. Build your franchise and guide your club to the Championship by making calculated front-office decisions with Career Mode. When one season ends and another begins new challenges will present themselves. More than 300 new crowd chants at an ever growing list of officially licensed stadiums help put you in the best seat in the house. Plus, an all-new dynamic weather feature even affects gameplay, so choose your home wisely. More than 500 official licenses, including 16 leagues, 350 teams and 10,000 players. From Europe?s super leagues to the Americas Club Championship, FIFA Soccer 2004 has the most authentic selection of the world?s best. A Game With No Boundaries: Go online and take on opponents from anywhere in the country. An online lobby area where gamers can meet, greet, chat and play head-to-head provides the ultimate interactive experience. [EA Sports]"
"146","Quake III Revolution","March 26, 2001","84","A faced-paced shooter that hasn't changed much from its PC days for those who don't mind more than a little blood with their atmosphere."
"147","Star Wars: Starfighter","February 19, 2001","84","One of the most eagerly anticipated PS2 titles of the year, this console space shooter features 14 missions by three starfighter pilots attempting to save Naboo and the Galaxy from the oppressive abuses of the Trade Federation."
"148","TimeSplitters: Future Perfect","March 21, 2005","84","In TimeSplitters Future Perfect, victory is in the hands of the player's past, present, and future self in a battle that stretches throughout time where humanity is on the brink of destruction from the malevolent TimeSplitters. Cortez--the tough-as-nails hero from previous installments--finds himself in a frantic race against time in a desperate bid to trace the origin of the TimeSplitters and save mankind. This third installment of the best-selling franchise will feature hundreds of hours of gameplay and an improved Story mode that ties all the missions together, immersing gamers in an epic adventure between the years of 1914 and 2401. Innovative ""meet yourself"" time travel gameplay lets players be their own ally by teaming up with past and future versions of themselves. The game also will allow two players to fight through the Story in Co-op mode, and features extensive Challenge and Arcade modes, and a Multiplayer mode that allows gamers to battle in 16-player death match online on the PlayStation(R)2 computer entertainment system. In addition, gamers will experience an improved Map Maker feature allowing them to easily create and play their own maps and share them online. TimeSplitters Future Perfect promises to be one of the deepest arcade shooters on the console with hundreds of unlockables, more realistic environments, spectacular special effects, high quality animated cut scenes, an improved physics engine, smarter enemy AI, and much more. [Electronic Arts]"
"149","Midnight Club 3: DUB Edition","April 11, 2005","84","The series that took racing from tracks to the open urban streets is back, and the stakes are even higher. Midnight Club 3: Dub Edition delivers insanely fast, open city racing in Atlanta, San Diego, and Detroit, complete with 8-player online competition and the most comprehensive vehicle customization ever seen in a video game. Drive the hottest licensed real life SUVs, import tuners, muscle cars, choppers and luxury rides, and trick them out with the latest rims, trims, and upgrades just like in the pages of DUB. Midnight Club 3: DUB Edition has more speed, more choices, and more chrome than any game has ever packed under the hood. [Rockstar Games]"
"150","High Heat Major League Baseball 2003","February 9, 2002","84","In addition to dabbling in B.P., Home Run Derby, Exhibition and All-Star games, HH 2003 features a Season mode with custom lengths, inactive players on each team, unsigned players, a fantasy draft, and intriguing A.I. trade acceptance decisions. A stand-alone Playoff system allows up to 8 players to play for the series title individually. There are options galore for the hot stove league fanatic."
"151","Maximo: Ghosts to Glory","February 11, 2002","84","You control the fate of the gallant Maximo, who returns home to find his kingdom in shambles. Your once trusted advisor, Achille has wrought evil on the land. Not only is the countryside filled with hoards of the roaming undead, but the four wise Sorceresses have been imprisoned at the four corners of the Kingdom, and to make matters worse, your girlfriend, Princess Sophia has been forced to marry the scoundrel Achille. Help Maximo rescue the Sorceresses, restore good to the kingdom, whup Achille's butt, and while you're at it...get your girl back! [Capcom]"
"152","LEGO Star Wars II: The Original Trilogy","September 12, 2006","84","LEGO Star Wars II takes the fun and customization ability of the LEGO play pattern and combines it with the epic story, characters and action from the revolutionary Star Wars: Episodes IV, V and VI. With a unique tongue-in-cheek take on the Original Trilogy, LEGO Star Wars II lets you build and battle your way through your favorite film moments. From Darth Vader's pursuit of Princess Leia aboard her Blockade Runner to Luke's final confrontation with Emperor Palpatine. For the first time ever, characters can get in and out of vehicles, as well as ride creatures. Because it's LEGO style, you can also mix and match the body parts of more than 50 playable characters to create one of millions of possible LEGO Star Wars heroes. And on PS2, Xbox and Windows platforms, a game save from the first LEGO Star Wars can unlock another 50-plus additional characters for Free Play mode -- that's more than 100 total characters. Other exciting additions include free-roaming vehicle levels, the ability to switch ships at will in Free Play mode, cool new character-specific attacks and maneuvers, playable mini-kit vehicles, an adaptive difficulty option and more. [LucasArts]"
"153","NBA Live 2005","September 28, 2004","84","The EA Sports Freestyle Control continues to revolutionize your ability to play simulation basketball?and, now more than ever, it's about expressing your game in flight with Freestyle Air. In addition to all-new dunks, alley-oops, and adjustable jump shots in mid-air, new user-controlled put-back and tip-in technologies reward players who box out, wipe the glass, and go back up for a quick bucket. On defense, take more control over shot blocking to own the paint. Freestyle Air elevates NBA Live 2005 above the rim in the all-new NBA All-Star Weekend mode by allowing users to take complete control and create jaw-dropping, customized dunks in the Slam Dunk Contest. With thousands of unique dunk scenarios?from bouncing the ball off the backboard, to jumping from the free throw line, to going between your legs in mid flight?Freestyle Air lets you express your game on the court, and above it. Also featuring the 3-Point Shootout, the Rookie Challenge, and the NBA All-Star Game, All-Star Weekend is available as a stand-alone game mode as well as within Dynasty Mode. Be the architect of your own unstoppable dynasty, and watch your franchise flourish for 25 seasons. Jump into games with simulation intervention and use the customizable PDA to stay updated with important league news, team information, and other announcements. New free agency logic allows users to negotiate contracts and manage the salary cap using real dollars for the first time. [Electronic Arts]"
"154","Devil May Cry 3: Dante's Awakening","March 1, 2005","84","Devil May Cry 3 unfolds an earlier chapter in Dante's history, before the original Devil May Cry, to the fateful clash between Sparda's twin sons, divided by the divergence of their chosen paths. Along the way, Dante encounters formidable foes and unusual characters including a mysterious man named Arkham and a female hunter named Lady whose mission is to take down all demons, including Dante. These precursory events disclose the complex roots of Dante's character and reveal insight into his clouded past. In addition to its strong roots, the game increases the intensity of gameplay with a new ""style"" system, which adds an additional level of depth. Depending on preference, players can choose to use short-range, long-range, defensive or evasive play styles. Each system has its own range of gameplay features and players can choose to power up their favorite style for increased special attack abilities. [Capcom]"
"155","Red Faction II","October 15, 2002","84","Earth. Twenty-second century. Five years after the rebellion on Mars. For 15 years, Chancellor Victor Sopot has oppressed the people of the Commonwealth. His corrupt rule and a relentless war of unification with the United Republic has left the Commonwealth bloodied and impoverished. As distant battles rage, sewage taints Sopot City's rivers, pollution smudges the sky, and wretched citizens huddle in crumbling ruins. Condemned to death by Chancellor Sopot, six super-soldiers unite to save their country, vowing to overthrow Sopot using the unique powers that nano-technology has given them. Join the squad as Alias, a demolitions expert. Fight side-by-side with Molov, Repta, Shrike, Tangier, and Quill--each possessing unique attributes and specialties. Battle through diverse environments using vehicles, an arsenal of specialized weapons, and explosives in a mission to overthrow the government. Defeat Sopot and restore the honor of the Commonwealth! [THQ]"
"156","Fight Night Round 3","February 20, 2006","84","Go toe-to-toe with greats such as Ali, De La Hoya, Joe Frazier, Bernard Hopkins and Roy Jones. Outside of the ring, gamers can establish intense rivalries through pre-fight events putting purpose and passion behind every hit. Three new Impact Punches a la the EA Sports Haymaker keep gamers at the edge of their seat as players are only one punch away from the entire dynamic of the fight changing. Land a perfectly timed Flash KO or jump into a quick mid-fight mini-game to land a humiliating knockdown punch. Thrown using EA Sports Fight Night's innovative analog punch system, Impact Punches are high risk and high reward - put down your opponent or get knocked on the canvas. Boxing's Greatest Rivalries - Watch ESPN Classic footage of real-life bouts or re-create the greatest fights from past and present including Arturo Gatti vs. Mickey Ward, Marco Antonio Barrera vs. Eric Morales, and Ali vs. Frasier. Establish intense rivalries of your own by intimidating opponents before the big fight with heated press conferences full of hype, trash talkin', and fights at weigh-ins. Relive the best rivalries of your career in ESPN's Instant Classics! Create a style of your own, then see how you match up against the authentic signature styles from the world's best fighters. Licensed boxers use tactics and strategies that match their real life counterparts. Self Determinant AI adapts its style to match user strengths and to exploit weaknesses. [Electronic Arts]"
"157","NBA 2K6","September 26, 2005","84","Shot Stick -- Control the direction of your shot with the right analog stick. Pull off runners, fade-aways, finger rolls and dunks with a flick of the stick. Dual Player Control -- Set teammates into motion for alley-oops, give and gos, or to hit an open man for a 3 point play with the touch of the d-pad. Strip n Rip System -- Direction specific stealing controls let players anticipate passes by jumping into passing lanes to deflect or intercept a pass, as well as, strip the ball from a player driving to the hoop or a player with weak hands coming down with the rebound. V.I.P. System -- After your game, save your friends’ profiles to compete when they’re not available! Learn their tendencies, moves, & logic for more heated battles. Get the upper hand in an online tournaments by downloading other players’ VIP profiles. The Crib -- New to NBA 2K6 this year, you can now earn crib credits with every game you play to deck out your crib, buy music, or play mini-games. 24/7: Road to the EBC  -- Take to the streets of Harlem in the Entertainer's Basketball Classic to play against NBA players and Def Jam Celebrities including Red Man, Method Man, Flavor Flav, and many other special guests. [2K Games]"
"158","Splashdown","November 5, 2001","84","Speed through the water while busting freestyle tricks on a Sea-Doo. Splashdown is a high quality visual experience associated with realistic water physics and Sea-Doo handling. 18 lush real-world environments and 8 wild characters with their own signature tricks complete the game play. [Infogrames]"
"159","Madden NFL 07","August 22, 2006","84","With the exclusive video game license of the NFL and its players, and currently in its 17th installment, Madden NFL 07 puts you in control the running game like never before. For the first time ever, step up as the lead blocker to create a hole, and then take control of the tailback and smash through, overpower, or slash away from would-be tacklers as you fight for every yard. Innovative rushing controls give you a game-breaking ground attack featuring all-new jukes, cutbacks, and the distinct running styles of your favorite backs. [Electronic Arts]"
"160","Ace Combat 5: The Unsung War","October 25, 2004","84","(Also known as ""Ace Combat 5: Squadron Leader"")  With more than 50 different licensed planes and an intense storyline extending over 30 missions, players will be put to the ultimate test, including air-to-air combat, air-to-ground fighting, air-to-sea assaults, rescue, recon and much more. Incorporating ultra-realistic beautifully rendered in-game graphics and cinematics along with unparalleled game play; ACE COMBAT 5 goes a step beyond the traditional air combat gaming experience. One of the exciting new features to the sequel includes Wingman Command, where players can issue directives to their wingmen mid-mission to carry out coordinated group attacks. Additionally, the in-game radio communications with the squadron and enemies adds to the realism and intensity of the dynamic battle sequences. In the game's premise, it is September 23, 2010 on distant Sand Island, a small island in the Ceres Ocean that divides the two superpowers, Osea and Yuktobania. An entire military base is on red alert--the 108th Tactical Fighter Squadron intercepted an unidentified aircraft and the entire squadron was decimated. You are a fighter pilot, part of the new squadron that's been called into action to protect your nation of Osea. Now, the story begins to unfold. [Namco]"
"161","NASCAR: Dirt to Daytona","November 11, 2002","84","Dirt to Daytona challenges players in the ultimate NASCAR Career Mode. The only game to include 4 different NASCAR racing series. Racing to win is the key for drivers hoping to advance from small town dirt tracks to modified cars, to trucks and eventually the highly prized NASCAR Winston Cup cars. Learn the harsh realities of the racing world where losing can cost drivers not only points in the standings but loss of money from a sponsor. Dirt to DAYTONA also features Single Races, Season Championships, Beat the Heat, and Pro Trainer modes for all 4 authentic NASCAR racing series. [Infogrames]"
"162","NASCAR Thunder 2003","September 29, 2002","84","NASCAR Thunder 2003 features an all-new game engine with more realistic vehicle dynamics, including tire grip and wear patterns, handling and suspension behavior, and collision physics; fun entry-level control with progression to deeper ""simulation."" The Career mode now includes 20 successive seasons in which you will need to manage four major components while building a racing car. Compete for top sponsors, the best crewmembers, and the latest racing technology. [EA Sports]"
"163","The Warriors","October 17, 2005","84","A battle on the streets of New York. The armies of the night number 60,000 strong, and tonight they’re all after The Warriors - a street gang wrongly accused of killing a rival gang leader. The Warriors must make their way from one end of New York to their turf on the other side of the city.  All that stands between The Warriors and their survival are 20 miles and thousands of street gang members. The army of gangs owns the streets and there’s no turning back, they must fight for their lives and learn the meaning of loyalty as danger and uncertainty emerge from the city night.  Based on the 1979 Paramount Pictures cult classic movie and developed by Rockstar Toronto, The Warriors expands the stylized cinematic journey of the film into a gritty interactive experience set in 1970s New York. [Rockstar Games]"
"164","Psi-Ops: The Mindgate Conspiracy","June 14, 2004","84","Your most powerful weapon is your mind in Psi-Ops: The Mindgate Conspiracy, an action/adventure game that utilizes extensive Psi (mind) powers combined with traditional weapons combat, providing gamers with unique gameplay attributes that clearly differentiate it from any other title in the action/adventure genre. In order to combat a Psi terrorist movement set to overthrow world order, you, as an elite American Psi-operative soldier, must fight using Telekinesis, Mind Control, Pyrokinesis, Mind Drain, Aura View and Remote Viewing to win a very serious ""mind game"" against an army of brainwashed terrorist super soldiers and powerful Psi agents. [Midway]"
"165","Tom Clancy's Splinter Cell Double Agent","October 24, 2006","84","Veteran agent Sam Fisher is back. But he's never faced an enemy like this before. To stop a devastating terrorist attack, he must infiltrate a vicious terrorist group and destroy it from within. For the first time ever, experience the relentless tension and gut-wrenching dilemmas of life as a double agent. As you infiltrate a terrorist organization in its American headquarters, you must carefully weigh the consequences of your actions. Kill too many criminals and you'll blow your cover. Hesitate too long and millions will die. Do whatever it takes to complete your mission, but get out alive. Dual objectives to fulfill: NSA government agents and terrorists will each want you to accomplish opposing tasks at the same time. Discover the tension of being a double agent: Use actual tactics employed by today’s real-life double agents to sabotage the terrorists' plans. Explore a branching storyline with multiple endings: Your choices have an impact on how the story and game play unfolds. Missions from all over the world, from Asia to Africa to the heart of the US. Experience extreme situations: underwater or in a sandstorm, hiding behind the dust or smoke – and even skydiving. Master the latest weapons and gadgets used by NSA government agents in addition to black-market terrorist weapons. [Ubisoft]"
"166","Disgaea 2: Cursed Memories","August 29, 2006","84","Darkness is back. Overlord Zenon has cursed the land, and now, Veldime is transforming into a nasty Netherworld. Memories are sterlized, bodies demonized, the world is falling into chaos. The only one unaffected is a young man, Adell. He stands up to fight the curse, but things never go as planned. The haughty daughter of Zenon, a filthy little frog, lovable demon siblings and a washed-up rock star!? No one can ever predict what goes on in the world of Disgaea. And of course, other Overlords refuse to sit still watching. [NIS America]"
"167","Valkyrie Profile 2: Silmeria","September 26, 2006","84","Hundreds of years before Lenneth's tale, another saga lies concealed by the gods. The valkyrie Silmeria once served Odin loyally, but after an incident ignited a conflict between them, Odin forcefully reincarnated her as a human. The human soul that would carry her spirit was that of Alicia, Princess of Dipan. Ordinarily, Silmeria’s consciousness would have been sealed, her spirit dormant until she was next summoned... However, the forced transmigration causes Silmeria's spirit to awaken within Alicia, leaving two souls to inhabit a single body. The spirit that should have been sealed has awakened—a situation Odin will not ignore for long. This installment introduces the new Photon Action System to the classic side-scrolling action format found in the original. Projecting photons grants players more freedom to explore and expands the action, resulting in challenging puzzles with clever solutions. Add to that ""sealstones"" that affect the laws of nature in dungeons, launching strategy to new heights. The unique battle system of the previous game has evolved into the Advanced Tactical Combination Battle System. [Square Enix]"
"168","MLB 08: The Show","March 4, 2008","84","MLB 08 The Show promises to provide fans with the most realistic baseball experience to date with innovations such as a more immersive Road to The Show mode, enabling gamers to play both offense and defense from the created player’s perspective. Providing players with some additional performance incentives, the MLB franchise introduces the new Progressive Batting Performance feature, which both rewards players for superior performance and penalize them for hitting slumps. Specific to each individual batter, players are rewarded with slight contact bonuses, or punished with slight decreases in contact, based on how that batter that performs beyond his ""natural ability"" while under user control. Adding to the online feature set, which includes customizable Online League Play with up to 30 teams, scrolling MLB Score Ticker and more, MLB 08 The Show introduces SCOUT (SportsConnect Online User Tracking), which allows gamers to set and store their game preferences on the MLB server, and enables the system to look for a Quick Match with opponents that fits similar competitive criteria. [SCEA]"
"169","Escape from Monkey Island","June 18, 2001","84","Join pencil-neck pirate Guybrush Threepwood as one of the best graphical PC adventure games comes to the PS2 totally intact and offbeat as ever."
"170","Star Wars: Battlefront II (2005)","November 1, 2005","84","Star Wars Battlefront II improves upon the original game's single-player experience with open-ended, mission-based objectives inspired from all six Star Wars films. The compelling storyline spans more than 12 new locations, many from Episode III, including volcanic Mustafar and the space battle above Coruscant. All-new classic movie moments complete the Star Wars Battlefront II experience, as players battle within the interior of the Death Star and visit Princess Leia’s blockade runner, the Tantive IV, as seen at the beginning of Episode IV A New Hope. In addition, at certain key moments within the battles, players can feel the Force as a Jedi. For the first time ever, Star Wars Battlefront II players can engage in space combat and, during the same battle, board enemy ships to attack from within. Starting on foot inside a capital ship, players can enter the spacecraft of their choice and travel into space to dogfight with the rival faction. From there, they can dock within the enemy’s capital ship, overtake the ship’s command posts, man its turrets to disable its shields and destroy it from within! Or, they can simply stay inside their own capital ship and defend it from attacks and enemy fire. The choice is theirs. The stellar online play that marked the original Star Wars Battlefront returns even bigger and better for Star Wars Battlefront II. Players can locate their buddies and track their stats as they battle alongside more players than ever (up to 24 on PS2, 32 on Xbox, 64 on Windows). [LucasArts]"
"171","WWE SmackDown! vs. Raw 2006","November 14, 2005","84","An amazing 100 different match types to challenge your wrestling skill and from the halls of immortality, a new roster of celebrated WWE Legends. Lace up your boots for the definitive wrestling experience that is WWE SmackDown! vs RAW 2006. New high-resolution textures and integrated motion-capture technology brings WWE programming to life like never before. Revolutionary momentum system adds increased depth with less complexity, while the all-new stamina system brings a new level of realism and strategy to matches. Challenge players online to gain prestige in a virtual WWE Championship 
Improved cut-scenes and 2 full seasons to play without story repetition. Buried-Alive Match, Bar Brawl backstage area, a special surprise for the WWE divas and others. Fully customizable 3D locker room (first time ever in 3D), 3 levels of blood and other ""fan favorite"" first time additions. A new roster of some of your favorite legends of all time. [THQ]"
"172","Jak 3","November 9, 2004","84","One year has passed since Jak and Daxter saved Haven City from Kor and the attacking Metal Heads, yet Haven City is still immersed in deadly chaos as three groups fight for control of the streets. The people of Haven City have grown to distrust Jak's dark powers, and as rumors boil of Jak's ties with Krew and Kor, the city blames Jak for its current woeful circumstances. When the palace is destroyed by a surprise Metal Head attack, even Ashelin cannot protect Jak as the High Council's power broker, Count Veger, forces Jak into banishment to the desolate Wasteland. Jak is flown to the harsh island and dumped. With Daxter and Pecker bravely by his side, the three begin their next adventure where the battle for the city has just begun. Five times the size of Haven City, the Wasteland is a desert environment with multiple areas including mines and a volcano. Given the enormity and variance in terrain, vehicles play a large role as off-road transportation is introduced, fueled by a true-to-life physics engine. With a rugged new look and suited with armor, Jak is also equipped with an arsenal of new weapons with upgradeable mods that enable players to increase their firepower and enjoy the freedom to strategize and activate their arsenal at any time. As Jak has been exposed to Light Eco, players can now experience Jak's magnificent transformation to Light Jak. With a glowing electric blue aura and a massive wing span, Light Jak introduces new move sets, including the ability to glide great distances, emit an energy to block enemy attack, and power up at anytime, all of which provide the player with a sense of being invincible. Dark Jak also returns with more capabilities, forcing Jak to find a balance between light and dark. [SCEA]"
"173","James Bond 007: Everything or Nothing","February 17, 2004","84","Think like Bond as never before, using espionage, tactical skills, and Q-Lab gadgets to analyze every situation. Act like Bond, using your stylish physical skills, clever disguises, and bold personality to once again save the world. With every Bond moment played out before you in an all-new, third-person cinematic perspective, this action-packed adventure could only come from the world of James Bond. What would Bond do? What will you do? [Electronic Arts]"
"174","Onimusha 2: Samurai's Destiny","August 28, 2002","84","Return to the magical days of feudal Japan and join Jubei, a young warrior, as he launches an epic, magical quest, only to reveal his ultimate destiny! [Capcom]"
"175","Spy Hunter","September 24, 2001","84","Based on the arcade classic, Spy Hunter combines explosive combat, action-racing, and mission-based game play as you drive the G-6155 Interceptor, capable of morphing on-the-fly into a jet-powered speed boat, jet watercraft, or motorcycle to escape and evade enemy fire.  [Midway]"
"176","Resident Evil Code: Veronica X","August 21, 2001","84","In this fourth game of the ""Resident Evil"" series, Claire Redfield attempts to track down her brother Chris, who went missing during his investigation of the Umbrella Corp., which is responsible for those pesky zombie outbreaks throughout the series. It also comes complete with a playable demo of Capcom's next big thing, ""Devil May Cry."""
"177","Prince of Persia: Warrior Within","November 30, 2004","83","The Prince has to embark upon a path of both carnage and mystery to defy his preordained death. His journey leads to the infernal core of a cursed island stronghold harboring mankind's greatest fears. Only through grim resolve, bitter defiance and the mastery of deadly new combat arts can the Prince rise to a new level of warriorship - and emerge from this ultimate trial with his life. In order to accomplish his mission, the Prince benefits from a brand new free-form fighting system that allows gamers to channel his anger as they wage battle without boundaries. Each game fan will find his or her own unique fighting style as they manipulate their environment and control the Ravages of Time. You can dig into an arsenal of weapons that, when used in combination, create advanced arm attacks that verge on fatal artistry! Prince of Persia: Warrior Within promises that game fans will fight harder, and play longer, emerging from the experience as deadly-capable skilled masters of their own unique combat art form. [Ubisoft]"
"178","Sega Sports Tennis","July 31, 2002","83","Choose from 16 internationally ranked men's and women's tennis players including: Venus Williams, Serena Williams, Lindsay Davenport, Magnus Norman, Patrick Rafter, Yevgeny Kafelnikov, Mary Pierce, Ai Sugiyama, Aranxta Sanchez-Vicario, Alexandra Stevenson, Carlos Moya, Tim Henman, Cedric Pioline, Tommy Haas, Thomas Enqvist, and Monica Seles. The revamped World Tour Mode lets you create and train your players, sign unique doubles partners, and enter a host of prestigious tournaments. [Sega]"
